id;name;id_room;groupPath;properties;tags;defaultDataStreamId;created;updated;activityState;lora_devEUI;lora_enabled;lora_status;lora_lastContact;lora_activationType;lora_profile;lora_encoding;lora_connectivityPlan;lora_appEUI;lora_lastActivationTs;lora_lastDeactivationTs;lora_lastSignalLevel;lora_lastDlFcnt;lora_lastUlFcnt
urn:lo:nsid:lora:0018B20000000035;Co2 Chrome 1;Chrome1;/Comfort Co2;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""comfortCo2"",""repeated-device""";urn:lora:0018B20000000035!uplink;2021-06-28T16:27:11.071Z;2021-07-14T12:00:51.365Z;NOT_MONITORED;0018B20000000035;true;ACTIVATED;2021-07-14T12:00:51.082Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T16:27:11.628Z;;4;18;246
urn:lo:nsid:lora:0018B20000000044;Co2 Chrome 2 et 3;Chrome2;/;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""comfort2"",""repeated-device""";urn:lora:0018B20000000044!uplink;2021-07-12T14:21:28.989Z;2021-07-14T11:53:23.444Z;NOT_MONITORED;0018B20000000044;true;ACTIVATED;2021-07-14T11:53:23.163Z;ABP;Orange_DP_6;;orange-cs/CP_Basic;;2021-07-12T14:21:29.544Z;;2;3;30
urn:lo:nsid:lora:0018B20000000044;Co2 Chrome 2 et 3;Chrome3;/;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""comfort2"",""repeated-device""";urn:lora:0018B20000000044!uplink;2021-07-12T14:21:28.989Z;2021-07-14T11:53:23.444Z;NOT_MONITORED;0018B20000000044;true;ACTIVATED;2021-07-14T11:53:23.163Z;ABP;Orange_DP_6;;orange-cs/CP_Basic;;2021-07-12T14:21:29.544Z;;2;3;30
urn:lo:nsid:lora:0018B20000020482;Motion Traiteur RDC C106;Traiteur_C106;/Motion;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""motion"",""repeated-device""";urn:lora:0018B20000020482!uplink;2021-06-28T08:43:57.933Z;2021-07-14T12:42:13.331Z;NOT_MONITORED;0018B20000020482;true;ACTIVATED;2021-07-14T12:42:13.053Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T08:43:58.483Z;;3;20;474
urn:lo:nsid:lora:0018B20000020496;Motion WC H RDC B108;WCH_B108;/Motion;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""motion"",""repeated-device""";urn:lora:0018B20000020496!uplink;2021-06-28T07:53:09.160Z;2021-07-14T12:51:17.589Z;NOT_MONITORED;0018B20000020496;true;ACTIVATED;2021-07-14T12:51:17.071Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T07:53:09.722Z;;3;43;997
urn:lo:nsid:lora:0018B2000002049C;Motion WC F 1er B108;WCF_B108;/Motion;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""motion"",""repeated-device""";urn:lora:0018B2000002049C!uplink;2021-06-28T10:14:35.665Z;2021-07-14T12:12:38.493Z;NOT_MONITORED;0018B2000002049C;true;ACTIVATED;2021-07-14T12:12:38.120Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T10:14:36.240Z;;2;25;600
urn:lo:nsid:lora:0018B2000002049F;Comfort RdC Palladium 1;Palladium1;/Comfort;;"""rdc"",""adeunis"",""minatec"",""comfort""";urn:lora:0018B2000002049F!uplink;2019-01-07T15:01:03.090Z;2021-07-14T12:34:19.125Z;NOT_MONITORED;0018B2000002049F;true;ACTIVATED;2021-07-14T12:34:18.858Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342544831;2019-01-07T15:01:03.217Z;;3;44;413
urn:lo:nsid:lora:0018B200000204A1;Comfort RDC B111A;B111A;/;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""repeated-device""";urn:lora:0018B200000204A1!uplink;2021-07-05T14:40:55.259Z;2021-07-14T12:41:00.716Z;NOT_MONITORED;0018B200000204A1;true;ACTIVATED;2021-07-14T12:41:00.406Z;ABP;Orange_DP_6;;orange-cs/CP_Basic;;2021-07-05T14:40:55.817Z;;4;15;230
urn:lo:nsid:lora:0018B200000204A8;Comfort RdC Titane 1;Titane1;/Comfort;;"""rdc"",""adeunis"",""minatec"",""comfort""";urn:lora:0018B200000204A8!uplink;2019-01-07T15:01:03.203Z;2021-07-14T12:51:10.293Z;NOT_MONITORED;0018B200000204A8;true;ACTIVATED;2021-07-14T12:51:10.038Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342544831;2019-01-07T15:01:03.323Z;;4;28;412
urn:lo:nsid:lora:0018B200000204AC;Comfort RdC Titane 2;Titane2;/Comfort;;"""rdc"",""adeunis"",""minatec"",""comfort""";urn:lora:0018B200000204AC!uplink;2019-01-07T15:01:03.329Z;2021-07-14T12:56:35.542Z;NOT_MONITORED;0018B200000204AC;true;ACTIVATED;2021-07-14T12:56:35.256Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342544831;2019-01-07T15:01:03.422Z;;5;39;413
urn:lo:nsid:lora:0018B200000204B0;Comfort AmphiBas 1er A207;A207;/Comfort;;"""adeunis"",""minatec"",""1er"",""comfort""";urn:lora:0018B200000204B0!uplink;2019-01-07T15:01:03.280Z;2021-07-14T12:20:53.728Z;NOT_MONITORED;0018B200000204B0;true;ACTIVATED;2021-07-14T12:20:53.404Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342544831;2019-01-07T15:01:03.368Z;;4;35;411
urn:lo:nsid:lora:0018B200000204BE;Motion Chrome1 1er B220;B220;/Motion;;"""adeunis"",""minatec"",""motion"",""1er""";urn:lora:0018B200000204BE!uplink;2019-01-07T15:01:03.733Z;2021-07-14T12:28:41.105Z;NOT_MONITORED;0018B200000204BE;true;ACTIVATED;2021-07-14T12:28:40.634Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342504C31;2019-01-07T15:01:03.859Z;;5;29;278
urn:lo:nsid:lora:0018B200000204C0;Motion Chrome2 1er B222;B222;/Motion;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""adeunis"",""minatec"",""motion"",""otaa-end-device"",""1er"",""repeated-device""";urn:lora:0018B200000204C0!uplink;2021-06-28T07:47:20.795Z;2021-07-14T12:45:33.970Z;NOT_MONITORED;0018B200000204C0;true;ACTIVATED;2021-07-14T12:45:33.679Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T07:47:21.371Z;;4;25;583
urn:lo:nsid:lora:0018B200000204C1;Comfort AmphiHaut 1er A207;A207;/Comfort;;"""adeunis"",""minatec"",""1er"",""comfort""";urn:lora:0018B200000204C1!uplink;2019-01-07T15:01:03.474Z;2021-07-14T12:23:04.028Z;NOT_MONITORED;0018B200000204C1;true;ACTIVATED;2021-07-14T12:23:03.761Z;OTAA;Generic_classA_RX2SF12;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;0018B25342544831;2019-01-07T15:01:03.595Z;;4;44;411
urn:lo:nsid:lora:0018B200000204DA;Comfort CouloirDébut 1er B201;B201;/Comfort;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""adeunis"",""minatec"",""otaa-end-device"",""1er"",""comfort"",""repeated-device""";urn:lora:0018B200000204DA!uplink;2021-06-28T08:45:24.324Z;2021-07-14T12:45:43.089Z;NOT_MONITORED;0018B200000204DA;true;ACTIVATED;2021-07-14T12:45:42.670Z;ABP;Orange_DP_6;adeunis_generic_decoder_by_tag;orange-cs/CP_Basic;;2021-06-28T08:45:24.885Z;;1;19;412
urn:lo:nsid:lora:0018B200000204DE;Confort Couloir fond 1er etage;Couloir1;/;"""manufacturer"":""Orange"",""model"":""LoraSensor""";"""repeated-device""";urn:lora:0018B200000204DE!uplink;2021-07-12T14:47:06.053Z;2021-07-14T12:47:13.792Z;NOT_MONITORED;0018B200000204DE;true;ACTIVATED;2021-07-14T12:47:13.381Z;ABP;Orange_DP_6;;orange-cs/CP_Basic;;2021-07-12T14:47:06.617Z;;5;6;55
